대분류,소분류,계,남_소계,남_6세이하,남_12세이하,남_15세이하,남_18세이하,남_19세,남_20세,남_30세이하,남_40세이하,남_50세이하,남_60세이하,남_64세이하,남_65세이상
계,계,"1,187,197","699,381","2,242","7,798","12,094","15,608","7,195","7,377","116,673","126,764","130,758","118,744","42,408","75,877"
계,(%),100.0,58.9,0.2,0.7,1.0,1.3,0.6,0.6,9.8,10.7,11.0,10.0,3.6,6.4
강력범죄,소계,"23,198","3,144",29,182,204,188,73,60,695,516,419,401,133,229
강력범죄,살인기수,274,134,12,3,-,2,1,1,11,14,26,25,18,19
강력범죄,살인미수등,498,302,2,6,3,1,1,1,33,38,60,82,24,51
강력범죄,강도,457,270,-,-,7,8,5,3,55,66,43,40,9,33
강력범죄,강간,"4,777",37,-,5,6,2,1,2,7,8,1,1,1,2
강력범죄,유사강간,897,99,2,13,23,9,2,3,30,10,5,2,-,-
강력범죄,강제추행,"15,377","1,878",13,151,159,159,62,50,538,331,205,144,35,28
강력범죄,기타강간강제추행등,148,11,-,2,4,5,-,-,-,-,-,-,-,-
강력범죄,방화,770,413,-,2,2,2,1,-,21,49,79,107,46,96
절도범죄,소계,"180,317","110,333",40,"1,097","2,928","2,656",740,650,"16,319","23,983","23,861","18,847","6,179","11,515"
폭력범죄,소계,"217,122","136,646",202,892,"3,478","4,583","1,614","1,606","24,542","24,324","25,428","24,156","9,067","15,743"
폭력범죄,상해,"19,573","12,284",11,38,487,593,134,123,"1,889","1,852","2,276","2,365",880,"1,615"
폭력범죄,폭행,"115,251","71,974",128,542,"1,748","2,574",980,959,"14,156","12,624","13,044","12,347","4,691","7,946"
폭력범죄,체포·감금,955,330,-,2,28,32,13,12,56,36,43,42,25,41
폭력범죄,협박,"23,553","12,806",11,74,232,337,100,116,"2,118","2,829","2,668","2,201",675,"1,226"
폭력범죄,약취·유인,316,109,32,52,7,7,-,1,1,2,1,3,-,3
폭력범죄,폭력행위등,"5,511","4,147",3,43,412,386,118,91,885,632,565,524,169,287
폭력범죄,공갈,"5,995","5,207",6,70,444,434,183,187,"1,402",774,678,595,186,232
폭력범죄,손괴,"45,968","29,789",11,71,120,220,86,117,"4,035","5,575","6,153","6,079","2,441","4,393"
지능범죄,소계,"467,125","280,003",130,540,"2,421","5,502","3,379","3,733","51,544","47,248","49,444","46,220","16,383","27,996"
지능범죄,직무유기,725,544,-,3,-,-,-,1,20,39,83,128,49,144
지능범죄,직권남용,"1,549","1,270",1,1,1,3,1,1,52,97,245,405,101,227
지능범죄,증수뢰,40,27,-,-,-,-,-,-,-,1,4,8,4,5
지능범죄,통화,87,45,-,-,-,-,1,-,6,2,13,6,1,8
지능범죄,문서·인장,"7,601","4,732",4,2,4,14,25,29,438,470,747,"1,070",448,"1,003"
지능범죄,유가증권인지,34,19,-,-,-,-,-,-,-,2,4,7,2,3
지능범죄,사기,"399,248","241,248",105,185,"1,709","4,360","2,926","3,295","44,679","41,289","42,830","39,518","14,047","23,030"
지능범죄,횡령,"55,799","30,640",19,349,707,"1,125",426,407,"6,319","5,222","5,226","4,675","1,566","3,241"
지능범죄,배임,"2,042","1,478",1,-,-,-,-,-,30,126,282,403,165,335
풍속범죄,소계,"16,518","3,182",6,25,123,283,166,135,"1,441",569,179,120,23,24
풍속범죄,성풍속범죄,"16,515","3,179",6,25,123,283,166,135,"1,440",569,178,120,23,24
풍속범죄,도박범죄,3,3,-,-,-,-,-,-,1,-,1,-,-,-
특별경제범죄,소계,"38,370","21,099",20,7,32,110,96,118,"2,484","3,174","5,327","3,874","1,359","2,110"
마약범죄,소계,3,2,-,-,-,-,-,-,1,1,-,-,-,-
보건범죄,소계,870,447,-,- ,1,3,2,-,58,81,91,77,34,42
환경범죄,소계,135,112,-,-,-,-,-,-,3,3,13,30,10,32
교통범죄,소계,"84,628","56,479",229,"1,318",571,712,275,278,"8,291","10,597","10,471","9,966","4,028","8,968"
노동범죄,소계,101,80,-,-,-,-,-,-,7,7,14,18,12,10
안보범죄,소계,104,58,-,-,-,-,1,1,4,13,11,5,8,6
선거범죄,소계,300,237,2,-,-,1,-,-,5,8,28,71,29,30
병역범죄,소계,21,18,-,-,-,-,-,1,10,4,-,1,-,-
기타범죄,소계,"158,385","87,544","1,584","3,737","2,336","1,570",849,795,"11,269","16,236","15,482","14,958","5,143","9,172"
