영도구,부산진구,동래구,남구,북구,강서구,해운대구,사하구,금정구,연제구,수영구,사상구,기장군
"2,871","17,497","7,797","8,674","7,322","5,172","11,861","7,787","6,289","7,585","5,598","7,011","5,392"
(0.2),(1.1),(0.5),(0.5),(0.5),(0.3),(0.7),(0.5),(0.4),(0.5),(0.4),(0.4),(0.3)
26,335,99,110,89,53,157,95,81,101,101,90,67
1,2,3,2,1,-,2,1,1,2,1,-,1
1,2,-,2,4,3,-,4,3,4,1,5,-
1,8,4,-,2,2,1,3,4,4,1,1,-
3,60,20,23,14,9,33,19,16,14,25,14,11
2,9,3,6,4,2,6,4,4,2,5,4,3
17,242,57,75,55,35,101,59,52,70,66,63,46
-,1,2,1,1,-,2,-,-,-,1,-,1
1,11,10,1,8,2,12,5,1,5,1,3,5
443,"2,678","1,264",862,"1,137",446,"1,674",952,878,833,795,797,448
487,"2,848","1,101","1,039",891,625,"1,394","1,216",854,"1,076","1,015","1,072",658
49,206,120,117,94,90,123,163,96,113,111,104,100
254,"1,558",575,453,427,305,689,559,388,609,510,563,287
1,7,3,4,3,2,11,4,2,7,2,2,3
56,264,93,154,97,88,172,152,117,98,121,133,84
-,5,3,1,-,2,3,3,1,-,2,2,2
8,97,36,36,30,12,38,26,13,17,28,28,33
17,75,30,34,36,29,40,29,31,29,11,27,27
102,636,241,240,204,97,318,280,206,203,232,213,122
840,"5,423","2,524","3,292","2,802","1,733","3,989","2,583","2,046","2,418","1,292","2,460","1,817"
1,12,7,14,4,4,21,10,6,8,2,8,6
-,6,11,3,4,5,9,6,9,7,6,7,2
2,4,-,2,1,-,1,-,-,2,-,-,3
-,3,1,4,1,1,2,2,-,-,2,4,1
25,112,80,76,62,83,132,67,50,91,31,35,73
-,-,-,-,-,-,1,-,-,1,-,3,-
707,"4,417","2,095","2,800","2,492","1,351","3,338","2,191","1,719","2,023",911,"2,138","1,467"
95,821,311,372,225,270,448,287,249,263,331,242,251
10,48,19,21,13,19,37,20,13,23,11,23,14
41,283,180,234,92,75,179,136,162,352,84,99,89
30,194,82,201,45,50,136,97,109,151,69,61,56
11,89,98,33,47,25,43,39,53,201,15,38,33
201,"1,015",558,780,454,371,898,468,439,599,283,345,334
20,195,44,46,48,19,96,82,36,69,38,76,26
21,184,62,61,56,53,219,105,92,43,269,47,80
-,1,6,7,-,45,3,28,2,4,7,14,31
288,"1,537",721,681,598,847,"1,180",770,627,620,776,913,828
2,8,3,2,2,1,-,1,-,1,-,8,2
-,2,1,-,1,-,2,1,-,1,-,-,-
5,11,1,4,3,4,4,7,18,6,7,6,5
19,72,42,28,50,16,53,31,18,51,24,60,18
478,"2,905","1,191","1,528","1,099",884,"2,013","1,312","1,036","1,411",907,"1,024",989
