죄종,택시,자가용자동차,지하철/전철,기차,선박,비행기,교통수단내_기타,소계,공연장/극장,체육시설
계 (%),"5,254 (0.3)","5,187 (0.3)","2,362 (0.1)",54 (0.0),57 (0.0),331 (0.0),774 (0.0),"22,847 (1.4)",605 (0.0),"7,503 (0.5)"
강력범죄 소계,167,525,517,-,-,12,35,732,38,214
살인기수,-,10,-,-,-,-,-,1,-,-
살인미수등,1,2,-,-,-,-,-,11,-,3
강도,5,16,-,-,-,-,1,10,-,-
강간,1,139,-,-,-,-,1,56,-,6
유사강간,4,34,-,-,-,-,1,19,2,2
강제추행,156,317,516,-,-,12,32,610,35,202
기타강간/강제추행등,-,2,-,-,-,-,-,3,-,-
방화,-,5,1,-,-,-,-,22,1,1
절도범죄,650,"2,605",262,8,5,39,179,"4,906",159,"1,581"
폭력범죄 소계,"1,923",932,443,10,5,9,160,"3,972",100,"1,050"
상해,23,64,24,-,-,1,10,411,8,134
폭행,"1,741",607,377,5,4,8,122,"2,287",69,636
체포·감금,15,81,-,-,-,-,1,18,-,5
협박,40,63,11,-,-,-,13,262,6,80
약취·유인,2,3,-,-,-,-,-,14,-,1
폭력행위등,5,16,5,-,1,-,1,235,5,45
공갈,2,15,-,2,-,-,1,107,-,15
손괴,95,83,26,3,-,-,12,638,12,134
지능범죄 소계,"1,992",298,710,18,23,16,205,"5,646",162,"2,630"
직무유기,-,-,-,-,-,-,-,3,-,1
직권남용,-,-,-,-,-,-,4,7,1,1
증수뢰,-,2,-,-,-,-,-,7,-,7
통화,2,-,-,-,-,1,2,1,-,-
문서·인장,-,13,2,-,-,1,2,62,2,13
유가증권·인지,-,-,-,-,-,-,-,1,-,1
사기,"1,363",225,53,10,19,2,76,"3,626",46,"2,194"
횡령,627,58,655,8,4,12,121,"1,919",109,398
배임,-,-,-,-,-,-,-,20,4,15
풍속범죄 소계,12,42,210,-,2,5,8,"1,708",9,197
성풍속범죄,11,40,210,-,1,5,7,662,9,137
도박범죄,1,2,-,-,1,-,1,"1,046",-,60
특별경제범죄,177,22,29,-,4,1,15,"1,026",41,721
마약범죄,9,147,3,1,1,4,7,56,-,8
보건범죄,1,2,-,-,1,-,-,47,-,8
환경범죄,-,-,-,-,-,-,-,6,-,1
교통범죄,4,37,1,-,3,-,34,88,4,34
노동범죄,-,-,-,-,-,-,-,2,-,2
안보범죄,-,-,-,-,-,-,-,1,1,-
선거범죄,-,-,-,1,-,-,-,25,11,7
병역범죄,-,-,-,-,-,-,-,8,-,5
기타범죄,319,577,187,16,13,245,131,"4,624",80,"1,045"
