죄종,세부죄종,계,00:00~02:59,03:00~05:59,06:00~08:59,09:00~11:59,12:00~14:59,15:00~17:59,18:00~20:59,21:00~23:59,미상
계,계,"1,583,108","713,722","62,122","64,760","116,411","137,666","149,138","146,901","162,366","30,022"
강력범죄,소계,"23,443","8,246","2,194","1,425","1,478","1,619","2,154","2,529","3,451",347
강력범죄,살인기수,274,99,17,21,27,20,20,34,30,6
강력범죄,살인미수등,498,134,41,37,47,39,61,57,79,3
강력범죄,강도,457,162,50,22,30,33,39,40,79,2
강력범죄,강간,"4,777","2,107",556,303,243,252,326,358,513,119
강력범죄,유사강간,897,386,119,64,44,45,58,73,93,15
강력범죄,강제추행,"15,377","5,069","1,301",902,993,"1,136","1,528","1,812","2,442",194
강력범죄,기타강간/강제추행등,148,66,11,4,5,9,12,16,18,7
강력범죄,방화,"1,015",223,99,72,89,85,110,139,197,1
절도범죄,절도범죄,"183,534","34,281","12,677","13,753","22,936","27,673","29,609","24,797","17,105",703
폭력범죄,소계,"219,798","62,544","15,807","12,803","17,755","19,175","23,180","29,407","38,242",885
폭력범죄,상해,"19,578","6,199","1,604","1,078","1,450","1,581","1,868","2,319","3,442",37
폭력범죄,폭행,"115,254","29,744","9,057","6,695","9,428","10,183","11,976","15,751","22,243",177
폭력범죄,체포/감금,956,358,56,53,67,91,98,109,119,5
폭력범죄,협박,"24,190","7,616","1,049","1,372","2,160","2,326","2,785","3,329","3,445",108
폭력범죄,약취/유인,316,95,6,15,25,50,57,41,23,4
폭력범죄,폭력행위등,"5,713","2,093",620,257,300,346,499,615,946,37
폭력범죄,공갈,"6,003","3,113",110,64,300,495,705,601,529,86
폭력범죄,손괴,"47,788","13,326","3,305","3,269","4,025","4,103","5,192","6,642","7,495",431
지능범죄,소계,"505,208","345,644","4,863","6,182","24,411","31,393","31,686","25,682","19,733","15,614"
지능범죄,직무유기,"1,077",878,5,6,33,22,28,7,8,90
지능범죄,직권남용,"1,611","1,275",14,14,62,42,24,31,27,122
지능범죄,증수뢰,307,223,0,1,22,6,8,12,4,31
지능범죄,통화,489,236,3,14,64,49,51,18,11,43
지능범죄,문서/인장,"12,746","9,502",123,68,457,513,563,325,276,919
지능범죄,유가증권인지,59,40,0,0,2,5,4,2,1,5
지능범죄,사기,"421,421","303,184","2,821","3,020","18,574","24,436","24,170","18,943","14,178","12,095"
지능범죄,횡령,"63,601","26,967","1,896","3,057","5,114","6,254","6,813","6,328","5,220","1,952"
지능범죄,배임,"3,897","3,339",1,2,83,66,25,16,8,357
풍속범죄,소계,"27,602","13,891",848,792,"1,520","1,833","2,662","2,789","2,733",534
풍속범죄,성풍속범죄,"18,737","8,475",716,695,"1,093","1,405","1,876","1,992","2,110",375
풍속범죄,도박범죄,"8,865","5,416",132,97,427,428,786,797,623,159
특별경제범죄,특별경제범죄,"103,870","67,106","1,339","1,415","4,711","7,663","6,945","5,780","6,071","2,840"
마약범죄,마약범죄,"11,380","5,074",416,296,822,"1,069","1,153","1,085","1,162",303
보건범죄,보건범죄,"9,317","5,630",199,79,320,369,533,594,"1,174",419
환경범죄,환경범죄,"2,728","2,132",9,16,106,140,79,24,16,206
교통범죄,교통범죄,"231,210","35,696","17,008","20,338","22,786","23,898","27,588","33,476","50,148",272
노동범죄,노동범죄,339,268,5,2,9,4,7,9,17,18
안보범죄,안보범죄,259,159,2,0,31,12,21,12,5,17
선거범죄,선거범죄,"1,599","1,013",9,48,146,128,104,68,28,55
병역범죄,병역범죄,"10,223","8,551",1,14,478,438,27,29,11,674
기타범죄,기타범죄,"252,598","123,487","6,745","7,597","18,902","22,252","23,390","20,620","22,470","7,135"
