죄종_대분류,죄종_소분류,공중위생업소_소계,공중위생업소_숙박업소(호텔/모텔/여관),공중위생업소_목욕탕/찜질방/사우나,공중위생업소_이발소/미용실,공중위생업소_마사지업소,공중위생업소_공중위생업소-기타,음식점_소계,음식점_음식점,음식점_카페
계,계,22033,14064,3053,1254,2042,1620,79660,34817,7452
계,(%),1.4,0.9,0.2,0.1,0.1,0.1,5.0,2.2,0.5
강력범죄,소계,2781,2276,244,44,155,62,3864,1119,204
강력범죄,살인기수,11,9,0,2,0,0,8,1,2
강력범죄,살인미수등,16,11,1,1,2,1,16,8,0
강력범죄,강도,42,34,0,1,6,1,25,5,3
강력범죄,강간,1490,1445,5,1,27,12,205,20,38
강력범죄,유사강간,194,171,9,0,13,1,86,6,8
강력범죄,강제추행,971,558,228,36,105,44,3492,1061,149
강력범죄,기타강간/강제추행등,27,24,0,1,1,1,5,3,1
강력범죄,방화,30,24,1,2,1,2,27,15,3
절도범죄,절도범죄,3241,1315,1421,218,119,168,8930,5183,1314
폭력범죄,소계,4418,3280,322,250,246,320,22708,8079,1094
폭력범죄,상해,510,369,44,22,28,47,3045,1000,110
폭력범죄,폭행,1843,1198,216,111,135,183,14349,5043,517
폭력범죄,체포·감금,71,66,1,0,2,2,37,9,8
폭력범죄,협박,253,169,14,30,12,28,1650,789,112
폭력범죄,약취·유인,15,13,0,0,2,0,2,0,0
폭력범죄,폭력행위등,167,125,12,2,14,14,719,149,89
폭력범죄,공갈,78,55,2,3,12,6,180,47,70
폭력범죄,손괴,1481,1285,33,82,41,40,2726,1042,188
지능범죄,소계,3120,1943,433,354,110,280,23023,10624,3349
지능범죄,직무유기,1,1,0,0,0,0,8,4,0
지능범죄,직권남용,5,2,0,0,1,2,25,12,5
지능범죄,증수뢰,0,0,0,0,0,0,27,18,2
지능범죄,통화,3,1,0,2,0,0,8,6,2
지능범죄,문서·인장,54,40,6,3,0,5,264,87,45
지능범죄,유가증권인지,1,1,0,0,0,0,1,1,0
지능범죄,사기,2633,1684,323,316,86,224,21067,9680,3038
지능범죄,횡령,412,210,102,31,23,46,1551,771,238
지능범죄,배임,11,4,2,2,0,3,72,45,19
풍속범죄,소계,1070,768,172,10,22,98,723,342,138
풍속범죄,성풍속범죄,1000,738,170,9,22,61,323,106,87
풍속범죄,도박범죄,70,30,2,1,0,37,400,236,51
특별경제범죄,특별경제범죄,833,469,96,100,55,113,6453,3185,494
마약범죄,마약범죄,870,844,3,2,14,7,479,39,15
보건범죄,보건범죄,755,148,60,59,314,174,1999,888,79
환경범죄,환경범죄,11,1,7,0,0,3,1,1,0
교통범죄,교통범죄,57,50,2,0,0,5,77,59,12
노동범죄,노동범죄,3,2,0,0,1,0,73,7,0
안보범죄,안보범죄,2,1,0,0,0,1,4,4,0
선거범죄,선거범죄,5,4,0,0,0,1,44,38,6
병역범죄,병역범죄,5,4,0,0,0,1,8,4,1
기타범죄,기타범죄,4862,2959,293,217,1006,387,11274,5245,746
