성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구
"9,158","8,620","6,356","10,005","10,708","7,453","13,488","9,869","15,073","11,726","8,965","15,467"
(0.6),(0.5),(0.4),(0.6),(0.7),(0.5),(0.9),(0.6),(1.0),(0.7),(0.6),(1.0)
154,151,86,162,151,136,518,119,288,199,141,300
1,-,5,3,6,1,1,3,3,2,2,2
1,6,2,4,3,2,3,1,2,5,4,8
1,-,-,3,1,-,4,1,6,-,3,6
32,40,18,29,37,40,89,16,53,30,31,58
8,3,1,6,1,7,23,3,16,7,2,10
105,98,55,108,93,83,391,85,193,150,93,212
1,-,-,-,-,1,1,1,3,-,1,1
5,4,5,9,10,2,6,9,12,5,5,3
884,968,800,"1,506","1,520","1,012","1,469","1,513","1,671","1,572",887,"1,790"
"1,149","1,169",858,"1,434","1,559",900,"1,912","1,364","2,049","1,616",992,"2,070"
67,71,58,68,111,54,140,84,126,80,74,141
648,703,488,885,813,495,"1,179",733,"1,171",961,548,"1,187"
8,3,2,2,4,5,8,3,11,2,4,8
127,129,94,164,181,106,196,158,269,175,151,188
1,1,1,3,1,3,1,5,2,-,-,3
17,27,20,26,18,9,41,27,36,38,18,79
34,34,15,45,71,18,39,27,81,29,13,38
247,201,180,241,360,210,308,327,353,331,184,426
"3,380","2,806","2,127","2,839","3,467","2,583","3,855","3,145","5,059","3,924","3,559","5,218"
10,8,3,5,3,3,7,6,10,9,5,16
6,11,5,6,8,8,16,12,11,11,3,12
4,-,1,4,1,3,8,4,5,-,-,5
4,2,3,9,4,3,7,5,7,2,2,9
57,60,38,59,80,62,137,130,98,100,67,131
-,1,-,-,1,-,-,-,2,-,-,2
"2,860","2,401","1,823","2,254","2,873","2,043","2,624","2,504","4,236","3,199","3,079","4,160"
412,306,245,487,471,446,"1,013",463,649,583,373,825
27,17,9,15,26,15,43,21,41,20,30,58
141,138,94,201,185,153,302,111,331,189,123,238
125,112,82,175,158,130,274,83,262,154,100,194
16,26,12,26,27,23,28,28,69,35,23,44
736,580,489,809,695,511,991,720,"1,115","1,017",802,"1,080"
43,64,40,76,51,49,119,64,139,110,58,146
44,49,31,43,47,45,202,33,103,72,41,92
3,3,1,2,-,-,2,1,8,-,1,-
933,747,461,918,968,631,"1,402",861,"1,374",900,817,"1,683"
1,1,1,1,1,-,1,-,4,1,3,5
1,4,-,-,1,2,3,2,4,1,1,9
5,9,6,13,16,10,23,7,21,7,8,30
70,62,46,80,58,57,81,70,94,66,73,91
"1,614","1,869","1,316","1,921","1,989","1,364","2,608","1,859","2,813","2,052","1,459","2,715"
