유흥업소_주점,유흥업소_단란_유흥주점_나이트_카바레,역_터미널_소계,역_터미널_버스터미널_정류소,역_터미널_지하철역_전철역,역_터미널_기차역,역_터미널_여객선터미널,역_터미널_공항,교통수단_내_소계,교통수단_내_버스
"20,293","17,098","10,262","2,209","5,929",548,78,"1,498","17,728","3,709"
(1.3),(1.1),(0.6),(0.1),(0.4),(0.0),(0.0),(0.1),(1.1),(0.2)
"1,211","1,330",381,84,272,11,2,12,"1,713",457
2,3,-,-,-,-,-,-,10,-
5,3,-,-,-,-,-,-,3,-
7,10,2,-,-,-,-,2,22,-
53,94,2,1,1,-,-,-,141,-
16,56,1,-,1,-,-,-,42,3
"1,123","1,159",370,82,269,9,1,9,"1,486",453
-,1,1,-,-,1,-,-,3,1
5,4,5,1,1,1,1,1,6,-
"1,646",787,"1,833",393,"1,076",98,11,255,"4,190",442
"7,928","5,607","1,522",405,928,73,18,98,"4,193",711
"1,077",858,107,37,58,6,1,5,168,46
"5,228","3,561","1,128",271,731,44,10,72,"3,456",592
8,12,4,1,2,1,-,-,104,7
474,275,75,26,32,9,1,7,169,42
1,1,4,2,-,1,1,-,5,-
265,216,7,2,3,-,-,2,34,6
17,46,8,3,4,1,-,-,22,2
858,638,189,63,98,11,5,12,235,16
"4,774","4,276","4,222",835,"2,326",235,20,806,"4,645","1,383"
1,3,-,-,-,-,-,-,-,-
4,4,5,1,3,-,-,1,5,1
1,6,-,-,-,-,-,-,2,-
-,-,13,-,-,-,-,13,5,-
79,53,66,1,7,8,4,46,20,2
-,-,-,-,-,-,-,-,-,-
"4,394","3,955",676,137,369,119,4,47,"1,785",37
291,251,"3,461",696,"1,947",108,11,699,"2,828","1,343"
4,4,1,-,-,-,1,-,-,-
149,94,501,94,393,6,-,8,399,120
69,61,500,93,393,6,-,8,393,119
80,33,1,1,-,-,-,-,6,1
"1,595","1,179",339,156,134,24,7,18,421,173
55,370,124,22,26,12,1,63,174,2
277,755,9,-,8,-,-,1,9,5
-,-,-,-,-,-,-,-,-,-
5,1,39,25,8,3,1,2,172,93
6,60,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-
-,-,12,5,6,1,-,-,4,3
3,-,9,-,5,-,1,3,1,1
"2,644","2,639","1,271",190,747,85,17,232,"1,807",319
