미상_1,소계,6세이하,12세이하,15세이하,18세이하,19세,20세,30세이하,40세이하,50세이하,60세이하,64세이하,65세이상,미상_2,미상_3
"35,843","473,580","1,650","5,605","10,490","13,868","6,630","8,033","90,122","79,452","84,115","78,368","24,921","48,009","22,317","14,236"
(3.0),(39.9),(0.1),(0.5),(0.9),(1.2),(0.6),(0.7),(7.6),(6.7),(7.1),(6.6),(2.1),(4.0),(1.9),(1.2)
15,"20,042",126,871,"1,678","1,520",678,747,"6,661","3,114","2,112","1,459",395,649,32,12
2,140,7,3,-,3,1,1,14,20,22,19,11,39,-,-
-,196,2,2,2,5,3,2,20,35,29,40,22,34,-,-
1,187,-,-,4,4,5,1,43,36,18,34,12,30,-,-
1,"4,740",7,207,856,462,168,187,"1,413",643,398,253,54,88,4,-
-,798,6,41,89,81,36,42,276,109,61,33,8,15,1,-
3,"13,499",101,597,698,937,460,509,"4,851","2,232","1,507",989,245,348,25,-
-,137,3,20,28,28,3,5,21,11,7,5,5,1,-,-
8,345,-,1,1,-,2,-,23,28,70,86,38,94,2,12
"1,515","68,891",15,240,541,886,453,580,"10,834","13,175","14,873","14,581","3,820","8,031",862,"1,096"
"1,011","80,299",195,427,"1,496","1,733",774,961,"12,979","14,720","16,887","15,059","5,172","9,504",392,177
21,"7,289",14,15,126,180,62,85,1126,"1,192","1,366","1,390",529,"1,201",3,-
235,"43,277",118,214,785,"1,095",529,622,"7,802","8,526","9,008","7,397","2,453","4,664",64,-
-,625,-,2,22,17,13,16,146,126,110,98,15,58,2,-
219,"10,678",13,38,180,203,89,121,"1,657","1,954","2,465","1,981",657,"1,195",125,69
-,207,38,85,33,20,2,1,14,8,1,1,-,2,2,-
32,"1,356",-,24,233,115,22,21,200,157,203,190,66,121,4,8
16,786,1,23,75,36,12,22,141,125,135,122,35,56,3,2
488,"16,081",11,26,42,67,45,73,"1,893","2,632","3,599","3,880","1,417","2,207",189,98
"25,473","178,408",78,281,"1,475","4,517","3,401","4,028","37,501","29,585","30,240","27,839","8,948","15,171","15,344","8,714"
77,171,-,-,1,-,-,-,8,26,31,58,7,23,17,10
135,245,-,-,-,-,-,-,11,39,59,74,16,42,4,34
5,10,-,-,-,-,-,-,1,1,1,2,1,-,4,3
8,37,-,-,-,-,-,-,5,8,5,6,5,7,1,5
478,"2,759",1,1,3,12,27,31,407,332,467,586,205,429,258,110
1,15,-,-,-,-,-,-,1,1,2,5,1,3,2,-
"23,275","149,941",66,96,"1,074","3,638","2,838","3,357","30,089","25,098","25,718","23,871","7,535","12,134","14,427","8,059"
"1,358","24,728",11,184,397,867,536,640,"6,962","4,045","3,878","3,093","1,108","2,431",576,431
136,502,-,-,-,-,-,-,17,35,79,144,70,102,55,62
88,"13,135",26,471,"1,300","1,594",363,537,"4,559","1,900",798,368,67,109,"1,043",201
87,"13,135",26,471,"1,300","1,594",363,537,"4,559","1,900",798,368,67,109,"1,043",201
1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"2,388","14,673",11,9,37,115,107,170,"1,909","2,007","2,716","3,730","1,020","1,327","1,515","2,598"
-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-
58,373,-,1,-,3,-,-,77,71,72,48,13,36,52,50
21,17,-,-,-,-,-,-,1,-,3,8,1,4,-,6
775,"27,986",132,652,398,448,157,186,"3,688","4,045","4,553","5,057","2,082","6,281",307,163
12,20,-,-,-,-,-,-,4,5,4,3,1,2,1,1
9,35,1,-,-,-,-,-,6,4,7,10,1,4,2,11
63,53,-,-,-,-,-,-,1,6,16,11,3,8,8,10
2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3
"4,413","69,647","1,066","2,653","3,565","3,051",697,824,"11,902","10,820","11,834","10,195","3,398","6,883","2,759","1,194"
